cid,chemical_name
CID_259846,Lupeol
CID_72276,(-)-Epicatechin
CID_439246,Naringenin
CID_10494,Oleanolic acid
CID_91457,Beta Eudesmol
CID_5281611,5-deoxykaempferol
CID_638278,Isoliquiritigenin
CID_126,P-Hydroxybenzaldehyde
CID_114829,Liquiritigenin
CID_442410,Garbanzol
CID_5281805,Pseudobaptigenin
CID_5282073,"7,4'-dihydroxyflavone"
CID_638088,Stilbenes
CID_688857,7-hydroxyflavanone
CID_5281727,Pterostilbene
CID_134369,Marsupsin
CID_133775,Pterosupin
CID_185124,Propterol
CHEMSPIDER_10306372,Propterol B
CID_6437266,Parsupol
CID_44257328,"7-hydroxy-5,4'-dimethoxy-8-methylisoflavone-7-rhamnoside"
CID_222284,Beta-sitosterol
CID_5281515,Caryophyllene
CID_68972,n-Triacontanol
CID_5997,Cholesterol
CID_5280794,Stigmasterol
CID_31253,Myrcene
CID_5204,Sesamin
CID_90472510,Mukulol
CID_445858,Ferulate
CID_11747713,Cembrene
CID_5281384,Cembrene A
CID_101297673,Guggulsterol I
CID_101297674,Guggulsterol II
CID_101297675,Guggulsterol III
CID_101750,Alpha-camphorene
CID_161109,20 alpha hydroxy-4-pregnen-3-one
CID_92747,20 beta hydroxy -4-pregnen-3-one
CID_6439929,E-guggulsterone
CID_70695727,Pluviatilol
CID_122173119,Z-guggulsterone
CID_5368823,Allylcembrol
CID_971,Oxalic acid
CID_91472,Friedelin
CID_12410,Hentriacontane
CID_65084,(+)-Gallocatechol
CID_5281855,Ellagic acid
CID_289,Catechol
CID_6251,Mannitol
CID_72277,Epigallocatechol
CID_73641,Arjunolic acid
CID_440835,Leucodelphinidin
CID_622032,Tomentosic acid
CID_15385516,Arjunic acid
CID_14034812,Cerasidin
CID_5281605,Baicalein
CID_12444386,Arjungenin
CID_132568257,Terminic acid
CAS_82178-34-5,Arjunolone
CID_5365034,Myristyl oleate
CID_64971,Betulinic acid
CID_3884,Lapachol
CID_6773,Tectoquinone
CID_931,Naphthalene
CID_6780,Anthraquinones
CID_3037329,Dehydrotectol
CID_72734,Dehydro-alpha-lapachone
CID_67030,Anthraquinone-2-carboxylic acid
CID_3574508,Tecomaquinone I
CID_344310,Anthraquinone-2-carboxaldehyde
CID_5318245,5-hydroxyalpachol
CID_14283285,"9,10-dimethoxy-2-methyl-1,4-anthraquinone"
CID_13970503,"1-hydroxy-5-methoxy-2-methyl-9,10-anthraquinone"
CID_323,Coumarins
CID_1550607,Aurapten
CID_334704,Marmesin
CID_6450230,Marmin
CID_6760,Skimmianine
CID_5281426,Umbelliferone
CID_10212,Imperatorin
CID_107936,Fagarine
CID_600671,Aegelinol
CID_11005,Myristic acid
CID_985,Palmitic acid
CID_5281,Octadecanoic acid
CID_445639,Oleic acid
CID_5280934,Linolenic acid
CID_5280450,Linoleic acid
CID_12309055,Beta-Sitosterol-beta-D-glucoside
CID_5742590,Beta-sitosterol glucoside
CID_10467,Arachidic acid
CID_8215,Behenic acid
CID_73170,Alpha-amyrin
CID_11197,Lignoceric acid
CID_2969,Capric acid
CID_379,Caprylic acid
CID_3893,Lauric acid
CID_102515444,Phosphatidylethanolamine
CID_16898,n-Heneicosanoic acid
CID_10071442,Sulfurein
CID_12309899,Isocoreopsin
CID_12303942,Coreopsin
CID_42607822,Isomonospermoside
CID_42607524,Monospermoside
CID_198727,Palasonin
CID_5312784,15-hydroxypentacosanoic acid
CID_10790,Aleurilic acid
CID_49831545,Delta-lactone
CID_5311264,Lysophosphatidylcholine
CID_71597391,Triterpenoids
CID_73145,Beta amyrin
CID_370,Gallic acid
CID_68171,N-hexacosanol
CID_72326,Betulin
CID_12407,Hexacosane
CID_92785,Taraxerone
CID_22296838,Marsformosanone
CID_7092583,Peregrinol
CID_14033983,Pongaflavone
CID_2353,Berberine
CID_19009,Palmatine
CID_72323,Jatrorrhizine
CID_11066,Oxyberberine
CID_442333,Oxyacanthine
CID_630739,Karachine
CID_193239,Pakistanine
CID_156697,Kalashine
CAS_77754-91-7,Chitraline
CID_181478,1 - O - methyl pakistanine
CID_94715,Glucuronic acid
CID_439215,Galacturonic acid
CID_12366,Ethyl palmitate
CID_12592,Tetracosane
CID_957,Octanol
CID_8193,Dodecanol
CID_305,Choline
CID_247,Betaine
CID_2758,"1,8-Cineole"
CID_6918391,b-Elemene
CID_439655,Tartaric acid
CID_13849,Pentadecanoic acid
CID_12409,n-Nonacosane
CID_12535,n-Triacontane
CID_3314,Eugenol
CID_7127,Methyl eugenol
CID_2682,1-Hexadecanol
CID_7410,Acetophenone
CID_61303,2-Pentadecanone
CID_8221,Octadecanol
CID_5280435,Phytol
CID_10408,Hexahydrofarnesyl acetone
CID_12406,Pentacosane
CID_11636,n-Heptacosane
CID_8181,Methyl palmitate
CID_12413,Pentatriacontane
CID_12411,Tritriacontane
CID_119,Gamma-butyric acid
CID_264,Butyric acid
CID_8209,Tetradecanol
CID_5352845,2-Dodecenol
CID_643915,Angelic acid
CID_798,Indole
CID_441437,D-quercitol
CID_9548706,Germacrene A
CID_12397,Pentadecanol
CID_892,Inositol
CID_785,Hydroquinone
CID_114522,Ketones
CID_5283384,"9,12,15-Octadecatrienal"
CID_9015,p-Guaiacol
CID_10290861,Conduritol A
CID_8123,Ethyl octadec-9-enoate
CID_15560302,Gymnestrogenin
CID_12101,m-Ethyl phenol
CID_6365430,Tetradecadiene
CID_284,Formic Acid
CID_124034,Swertisin
CID_162350,Isovitexin
CID_191120,Erythrocentaurin
CID_354616,Gentianine
CID_5280443,Apigenin
CID_5281564,Enicoflavin
CID_5281617,Genkwanin
CAS_22108-77-6,Gentiocrucine
CID_68406,n-Octacosanol
CID_7121,Veratric acid
CID_5321494,Undulatosides A
Tecomin,Tecomin
