Entrez_ID,Gene_Symbol,Phytochemicals
4886,NPY1R,['Coumarins']
4160,MC4R,['Coumarins']
3356,HTR2A,['Coumarins']
834,CASP1,"['Umbelliferone', 'Coumarins']"
4159,MC3R,['Coumarins']
43,ACHE,"['Coumarins', 'Skimmianine', 'Fagarine', 'Marmesin', 'Umbelliferone']"
153,ADRB1,['Coumarins']
6530,SLC6A2,['Coumarins']
5468,PPARG,['Aurapten']
2147,F2,['Beta-sitosterol']
2740,GLP1R,"['Imperatorin', 'Aurapten']"
2099,ESR1,['Coumarins']
155,ADRB3,['Coumarins']
1571,CYP2E1,['Coumarins']
2778,GNAS,['Fagarine']
412,STS,['Umbelliferone']
10411,RAPGEF3,['Skimmianine']
4318,MMP9,['Coumarins']
3358,HTR2C,['Coumarins']
1545,CYP1B1,['Imperatorin']
761,CA3,['Coumarins']
2908,NR3C1,['Coumarins']
6531,SLC6A3,['Coumarins']
1066,CES1,['Lupeol']
5743,PTGS2,"['Coumarins', 'Umbelliferone']"
154,ADRB2,['Coumarins']
1268,CNR1,['Coumarins']
5770,PTPN1,['Lupeol']
