Entrez_ID,Gene_Symbol,Phytochemicals
3620,IDO1,['P-Hydroxybenzaldehyde']
5465,PPARA,"['Pseudobaptigenin', 'Naringenin', ""7,4'-dihydroxyflavone""]"
4864,NPC1,['Pterostilbene']
590,BCHE,['Naringenin']
43,ACHE,['Naringenin']
54205,CYCS,['Naringenin']
7442,TRPV1,"['Oleanolic acid', 'Pterostilbene']"
5468,PPARG,"['Pseudobaptigenin', ""7,4'-dihydroxyflavone"", 'Naringenin', 'Isoliquiritigenin']"
2147,F2,['(-)-Epicatechin']
2740,GLP1R,"['Pterostilbene', 'Isoliquiritigenin']"
2099,ESR1,"['Naringenin', 'Liquiritigenin', 'Isoliquiritigenin']"
6774,STAT3,['Oleanolic acid']
10411,RAPGEF3,['Naringenin']
5583,PRKCH,['Isoliquiritigenin']
4318,MMP9,"['Isoliquiritigenin', 'Liquiritigenin']"
2194,FASN,['(-)-Epicatechin']
6462,SHBG,['Naringenin']
1545,CYP1B1,"['Liquiritigenin', 'Naringenin', 'Pterostilbene', 'Isoliquiritigenin']"
3309,HSPA5,['Isoliquiritigenin']
1066,CES1,"['Lupeol', 'Oleanolic acid']"
5467,PPARD,"['Pseudobaptigenin', ""7,4'-dihydroxyflavone"", 'Naringenin']"
5743,PTGS2,"['Naringenin', 'Isoliquiritigenin', 'Pterostilbene', 'Oleanolic acid']"
5770,PTPN1,"['Naringenin', 'Oleanolic acid', 'Liquiritigenin', ""7,4'-dihydroxyflavone"", 'Lupeol', 'Isoliquiritigenin']"
