Entrez_ID,Gene_Symbol,herb_count,herbs
5563,PRKAA2,10,"['Pterocarpus marsupium', 'Terminalia arjuna', 'Butea monosperma', 'Tecomella undulata', 'Commiphora wightii', 'Tectona grandis', 'Aegle marmelos', 'Diospyros malabarica', 'Enicostema axillare', 'Berberis aristata']"
1544,CYP1A2,10,"['Gymnema sylvestre', 'Terminalia arjuna', 'Enicostema axillare', 'Berberis aristata', 'Aegle marmelos', 'Pterocarpus marsupium', 'Tectona grandis', 'Commiphora wightii', 'Tecomella undulata', 'Butea monosperma']"
4000,LMNA,9,"['Gymnema sylvestre', 'Aegle marmelos', 'Terminalia arjuna', 'Enicostema axillare', 'Butea monosperma', 'Pterocarpus marsupium', 'Berberis aristata', 'Diospyros malabarica', 'Commiphora wightii']"
1803,DPP4,9,"['Butea monosperma', 'Tecomella undulata', 'Commiphora wightii', 'Tectona grandis', 'Aegle marmelos', 'Terminalia arjuna', 'Diospyros malabarica', 'Enicostema axillare', 'Pterocarpus marsupium']"
5770,PTPN1,9,"['Enicostema axillare', 'Pterocarpus marsupium', 'Terminalia arjuna', 'Tectona grandis', 'Diospyros malabarica', 'Butea monosperma', 'Berberis aristata', 'Gymnema sylvestre', 'Aegle marmelos']"
2740,GLP1R,8,"['Aegle marmelos', 'Butea monosperma', 'Pterocarpus marsupium', 'Commiphora wightii', 'Gymnema sylvestre', 'Enicostema axillare', 'Tectona grandis', 'Diospyros malabarica']"
150,ADRA2A,7,"['Enicostema axillare', 'Butea monosperma', 'Gymnema sylvestre', 'Commiphora wightii', 'Tecomella undulata', 'Terminalia arjuna', 'Aegle marmelos']"
5468,PPARG,7,"['Terminalia arjuna', 'Gymnema sylvestre', 'Commiphora wightii', 'Enicostema axillare', 'Butea monosperma', 'Pterocarpus marsupium', 'Aegle marmelos']"
5467,PPARD,7,"['Gymnema sylvestre', 'Butea monosperma', 'Commiphora wightii', 'Terminalia arjuna', 'Enicostema axillare', 'Pterocarpus marsupium', 'Berberis aristata']"
1956,EGFR,7,"['Enicostema axillare', 'Commiphora wightii', 'Gymnema sylvestre', 'Tecomella undulata', 'Terminalia arjuna', 'Pterocarpus marsupium', 'Aegle marmelos']"
4790,NFKB1,6,"['Terminalia arjuna', 'Butea monosperma', 'Commiphora wightii', 'Gymnema sylvestre', 'Pterocarpus marsupium', 'Enicostema axillare']"
5465,PPARA,6,"['Butea monosperma', 'Gymnema sylvestre', 'Commiphora wightii', 'Pterocarpus marsupium', 'Enicostema axillare', 'Berberis aristata']"
1909,EDNRA,6,"['Gymnema sylvestre', 'Terminalia arjuna', 'Butea monosperma', 'Commiphora wightii', 'Tecomella undulata', 'Aegle marmelos']"
4160,MC4R,5,"['Gymnema sylvestre', 'Aegle marmelos', 'Terminalia arjuna', 'Commiphora wightii', 'Tecomella undulata']"
213,ALB,5,"['Pterocarpus marsupium', 'Aegle marmelos', 'Terminalia arjuna', 'Tectona grandis', 'Diospyros malabarica']"
2548,GAA,5,"['Enicostema axillare', 'Terminalia arjuna', 'Pterocarpus marsupium', 'Berberis aristata', 'Aegle marmelos']"
155,ADRB3,5,"['Gymnema sylvestre', 'Commiphora wightii', 'Tecomella undulata', 'Terminalia arjuna', 'Aegle marmelos']"
3156,HMGCR,5,"['Terminalia arjuna', 'Gymnema sylvestre', 'Aegle marmelos', 'Commiphora wightii', 'Tecomella undulata']"
5579,PRKCB,4,"['Enicostema axillare', 'Diospyros malabarica', 'Tectona grandis', 'Pterocarpus marsupium']"
10018,BCL2L11,3,"['Pterocarpus marsupium', 'Enicostema axillare', 'Butea monosperma']"
2475,MTOR,3,"['Terminalia arjuna', 'Pterocarpus marsupium', 'Gymnema sylvestre']"
2167,FABP4,3,"['Enicostema axillare', 'Butea monosperma', 'Gymnema sylvestre']"
