Entrez_ID,Gene_Symbol,herb_count,herbs
2147,F2,10,"['Gymnema sylvestre', 'Butea monosperma', 'Tecomella undulata', 'Commiphora wightii', 'Tectona grandis', 'Aegle marmelos', 'Terminalia arjuna', 'Diospyros malabarica', 'Enicostema axillare', 'Pterocarpus marsupium']"
2099,ESR1,10,"['Gymnema sylvestre', 'Butea monosperma', 'Commiphora wightii', 'Aegle marmelos', 'Tecomella undulata', 'Enicostema axillare', 'Terminalia arjuna', 'Diospyros malabarica', 'Pterocarpus marsupium', 'Tectona grandis']"
43,ACHE,9,"['Berberis aristata', 'Enicostema axillare', 'Butea monosperma', 'Aegle marmelos', 'Gymnema sylvestre', 'Terminalia arjuna', 'Commiphora wightii', 'Tecomella undulata', 'Pterocarpus marsupium']"
5743,PTGS2,9,"['Enicostema axillare', 'Diospyros malabarica', 'Terminalia arjuna', 'Pterocarpus marsupium', 'Butea monosperma', 'Commiphora wightii', 'Gymnema sylvestre', 'Tecomella undulata', 'Aegle marmelos']"
5770,PTPN1,9,"['Enicostema axillare', 'Pterocarpus marsupium', 'Terminalia arjuna', 'Tectona grandis', 'Diospyros malabarica', 'Butea monosperma', 'Berberis aristata', 'Gymnema sylvestre', 'Aegle marmelos']"
2740,GLP1R,8,"['Aegle marmelos', 'Butea monosperma', 'Pterocarpus marsupium', 'Commiphora wightii', 'Gymnema sylvestre', 'Enicostema axillare', 'Tectona grandis', 'Diospyros malabarica']"
2908,NR3C1,8,"['Diospyros malabarica', 'Terminalia arjuna', 'Commiphora wightii', 'Gymnema sylvestre', 'Tecomella undulata', 'Enicostema axillare', 'Aegle marmelos', 'Butea monosperma']"
6530,SLC6A2,7,"['Gymnema sylvestre', 'Commiphora wightii', 'Tecomella undulata', 'Aegle marmelos', 'Enicostema axillare', 'Butea monosperma', 'Terminalia arjuna']"
5468,PPARG,7,"['Terminalia arjuna', 'Gymnema sylvestre', 'Commiphora wightii', 'Enicostema axillare', 'Butea monosperma', 'Pterocarpus marsupium', 'Aegle marmelos']"
1571,CYP2E1,7,"['Gymnema sylvestre', 'Terminalia arjuna', 'Butea monosperma', 'Enicostema axillare', 'Commiphora wightii', 'Tecomella undulata', 'Aegle marmelos']"
