SHD,FDA approved drug,Indication_Type,Phytochemical,Target,Disease
Aegle marmelos,Alogliptin,Diabetes,Beta-sitosterol,DPP4,Type 2 Diabetes
Aegle marmelos,Amphetamine,Obesity,Coumarins,"SLC6A3, SLC6A2",Obesity
Aegle marmelos,Benzphetamine,Obesity,Coumarins,SLC6A2,Obesity
Aegle marmelos,Diethylpropion,Obesity,Coumarins,"SLC6A3, SLC6A2",Obesity
Aegle marmelos,Linagliptin,Diabetes,Beta-sitosterol,DPP4,Type 2 Diabetes
Aegle marmelos,Metamfetamine,Obesity,Coumarins,SLC6A3,Obesity
Aegle marmelos,Metformin,Diabetes,"Aurapten, Marmin","NDUFV2, MT-ND1, NDUFA11, NDUFB3, NDUFA13, NDUFS2, NDUFS1, NDUFA8, NDUFB6, NDUFB9, NDUFS7, NDUFV3, MT-ND4L, MT-ND5, NDUFB8, COXFA4, MT-ND4, NDUFB1, MT-ND3, NDUFB2, NDUFC2, COXFA4L2, NDUFA5, NDUFAF1, NDUFC1, NDUFS3, NDUFA12, NDUFB5, NDUFA1, NDUFAB1, NDUFB4, NDUFA10, NDUFV1, NDUFS6, MT-ND6, NDUFAF4, NDUFA2, NDUFS4, MT-ND2, NDUFAF2, NDUFA6, NDUFA9, NDUFB10, NDUFAF3, NDUFS8, NDUFA7, NDUFA3, NDUFB7, NDUFB11, NDUFS5",Type 2 Diabetes
Aegle marmelos,Miglitol,Diabetes,"Imperatorin, Umbelliferone",GAA,Type 2 Diabetes
Aegle marmelos,Phendimetrazine,Obesity,Coumarins,"SLC6A3, SLC6A2",Obesity
Aegle marmelos,Phentermine,Obesity,Coumarins,SLC6A2,Obesity
Aegle marmelos,Pioglitazone,Diabetes,Aurapten,PPARG,Type 2 Diabetes
Aegle marmelos,Pramlintide,Diabetes,"Aurapten, Imperatorin",GLP1R,Type 2 Diabetes
Aegle marmelos,Saxagliptin,Diabetes,Beta-sitosterol,DPP4,Type 2 Diabetes
